nama,barang,ulasan
P***u,Varian: Putih - iP 12 atau Pro,"Casenya bagus, tebalnya pas, fitnya bagus tidak ada yang menganga, tombol enak ditekan. Cuma saya kira titik2 nya itu warna hitam saja ternyata ada warna coklat kemerahan... "
A***o,Varian: Hitam - iP 12 atau Pro,"gatau sih ini lubang kamera emang modelnya agak kebesaran atau gimana.. tapi selebihnya kualitas oke banget, nyaman dipegang, ga licin tapi mudah dimasukin/dikeluarin dr... "
T***n,Varian: Biru - iP 12 Mini,casing nya bagus untuk 12 mini. semoga tahan lama
Ihsan,Varian: Hitam - iP 12 atau Pro,"Bahan enak buat digenggam. Tidak licin, sidik jari tidak menempel. Sangat bagus untuk ukuran harganya👍🏻"
Z***y,Varian: Biru - iP 12 atau Pro,"Cakeuuup, pertamax inimah udah bukan premium"
Alwan,Varian: Biru - iP 12 Pro Max,Sesuai diskripsi
M,Varian: Merah - iP 12 atau Pro,Baiiikkkkkk
Jonathan,Varian: Hitam - iP 12 atau Pro,Mantab CASE nya
Aldi,Varian: Putih - iP 12 atau Pro,keren
W***u,Varian: Tosca - iP 12 atau Pro,Lumayan sesuai harga
H***y,Varian: Biru - iP 12 atau Pro,"produk bagus, penjual responsif, packing bagus"
H***y,Varian: Hitam - iP 12 atau Pro,produk bagus..
A***d,Varian: Hitam - iP 12 Mini,"Paket sampai tepat waktu dan packagingnya rapih. Casenya cukup presisi pada bagian tombol2, jadi mudah ditekan. Sayangnya di tepian layar tidak konsisten karena ada yg ra... "
A***d,Varian: Hitam - iP 12 atau Pro,Desain simpel tapi keren banget
Andre,Varian: Hitam - iP 12 atau Pro,Kualitas bagus dan nyaman ditangan🌟🌟🌟🌟🌟
A***a,Varian: Hitam - iP 12 atau Pro,"Bagus banget casenya, sesuai foto"
Ayyub,Varian: Biru - iP 12 atau Pro,"Harganya murah, dan silikon ketat dan tebal. Minusnya hanya sedikit licin tp ga mengurangi kenyamanan pemakaian dan keamanan HP itu sendiri. Dari segi service, pengiriman... "
Lundy,Varian: Tosca - iP 12 atau Pro,barang ok
N***l,Varian: Hitam - iP 12 Mini,"got a premium look from this good case. its not that slippery tho, left no stretch and fingerprints. definitely a good deal"
T***a,Varian: Kuning - iP 12 Mini,Very good quality. Bakal tahan lama banget sih ini casing
Marchell,Varian: Merah Muda - iP 12 Pro Max,"tidak sesuai gambar, dipesan warna merah muda, dikirim warna merah"
R***n,Varian: Biru - iP 12 Mini,"produk keren, seller ramah, fast respon
sukses selalu bosku"
Kenny,Varian: Biru - iP 12 atau Pro,"Pengiriman cepat,packing bubble wrap
Mantab"
R***y,Varian: Hitam - iP 12 Mini,Recommend 👍🏻✨
C***a,Varian: Merah Muda - iP 12 atau Pro,Bahannya licin tapi masih nyaman digenggam
R***y,Varian: Kuning - iP 12 Mini,"barang bagus, seller recommended"
J***e,Varian: Merah Muda - iP 12 atau Pro,"Produk sesuai deskripsi. Kondisi sangat baik. Bahannya lembut. Cutting-nya bersih rapih. Presisi saat dipakai sangat baik. Warnanya gemes. Pengiriman cepat, dan packing r... "
Maya,Varian: Biru - iP 12 Pro Max,"barangnya bagus, pas di hp, pengiriman cepat, packing jg baik, terimakasih ya"
Stendy,Varian: Kuning - iP 12 Pro Max,"Kualitas casing sangat bagus dan presisi untuk setiap tombol, mantap"
dame,Varian: Merah Muda - iP 12 atau Pro,"Bahannya bagus deh, ga nyesel beli disini deh dengan harga yang worth menurut aku."
S***i,Varian: Kuning - iP 12 Pro Max,Suka Sekali 🥰🥰🥰
A***a,Varian: Biru - iP 12 atau Pro,"Barangnya cepat sampai, packaging amana. Saya beli yang warna biru dan bagus banget. Nggak licin juga. Ukurannya pas di HP saya tapi pinggirnya agak longgar (bukan yang b... "
